Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
OK Kanmani,2015,139,7.4,5030,19,16
Meen Kuzhambum Mann Paanaiyum,2016,136,5.4,98,510,16
Nandini,1969,120,5.0,0,8,10
Begunah,1970,120,5.0,0,1,5
Ishara,1943,120,5.0,0,0,5
Vakratunda Mahakaaya,2013,92,6.9,75,5,10
Kaise Tumse Kahoon,2015,120,5.0,0,0,19
Idhey Naa Savaal,1984,120,6.2,8,0,17
Intiguttu,1958,140,7.2,5,89,17
Naag Mani,1957,120,6.5,6,210,5
Ghanchakkar,1990,120,7.3,15,5,10
Uladhaal,2008,130,6.0,49,824,10
Barkha,1953,120,5.0,0,0,19
Doctor X,1972,120,5.0,0,24,5
Qaid-e-Tanhai,2010,120,8.2,103,8,19
Gullu Dada Returns: No Compromise.. Only Fight...!,2010,120,7.5,50,568,12
Arshinagar,2015,134,4.5,198,81519,2
Susral Chalo,1983,120,5.0,0,0,13
Na Ghar Ke Na Ghaat Ke,2010,120,6.1,269,58,5
Therottam,2019,117,5.0,0,124,9
Shaadi Aur Barbadi,1991,120,5.0,0,5,5
SHUDRA: The Untouchables,2011,116,7.8,23,8912,5
Mazaa Mazaa,2005,99,2.8,57,19,5
Har Din Pyar Ke Din,1990,120,5.0,0,24,5
Chor Na Bhai Ghanti Chor,2016,136,5.0,0,8,4
Ek Gadi Baaki Anadi,1988,135,7.7,15,5,10
Army,1996,153,4.3,1591,18,5
Rebecca,1963,120,5.0,0,0,9
Mera Suhag,1987,138,5.0,0,89,5
Kamsale Kaisale,2012,90,5.0,0,8,6
Bottu Katuka,1979,136,5.0,0,8,17
Atmatyag,2012,120,5.0,0,8,2
Manju,1983,120,7.6,5,8,9
Thakur Jarnail Singh,1966,120,5.0,9,1,5
Premleela,2015,120,5.0,0,119,3
Marunnattil Oru Malayali,1971,120,5.7,7,0,9
Munnudi,2000,108,6.6,12,9,6
Halli Mestru,1992,162,6.9,56,58,6
Licence,1976,120,5.0,0,8,13
Kitty Party,2019,134,3.8,5,15,13
Ajnabi Lage Zindagi,2019,120,5.0,0,8,19
Sangarshana,1983,120,7.1,25,189,17
Cool Boys Hot Girls,2012,125,5.0,0,5,17
Jeethu,2013,120,5.0,0,8,6
Once Upon a Time in Mumbaai Dobara,2013,160,4.6,6698,168,5
Akaash Ganga,1990,120,5.0,0,1,5
Srinkhal,1947,120,5.0,0,0,2
Kabhi Yuh Bhi Toh Ho,2014,102,5.0,0,9,5
Aadi Shakti,1992,120,5.0,0,1,5
Appavi Kateri,2015,120,5.0,0,8,16
Vasantha Kumaran,0,122,5.0,0,19,16
India Unplugged,2014,30,5.0,0,0,19
Kanyavanangal,2019,122,5.0,0,8,9
Little Singham: Kaal Ka Badla,2020,69,5.1,9,31,5
Ek Doctor Ki Maut,1990,122,8.3,1309,48,5
Mazaaq,1943,120,5.0,0,0,5
The Train,1970,138,6.4,148,1616,5
Lala Begum,2016,58,6.5,21,824,19
Ved Lavi Jeeva,2010,120,7.2,14,8,10
Ravoyi Chandamama,1999,120,4.9,186,819,17
Aakhri Ghulam,1989,171,5.0,32,168,5
Diljani,1935,120,5.0,0,0,5
Jutt Majhey Da,1988,120,5.0,0,0,13
Ek Dopahar (An Afternoon),2021,90,5.0,0,8,5
Evadu Thakkuva Kadu,2019,125,7.5,21,1,17
Veera Ranachandi,2017,138,5.0,0,8,6
Ice Cream,2014,144,3.4,114,1324,17
Sasanam,2006,154,6.1,16,8,16
Krishna Cottage,2004,124,5.1,1004,1316,5
Sankarabharanam,1980,143,8.7,1985,81419,17
Ghulam Begum Badshah,1956,124,6.6,5,812,5
Bhotbhoti,0,120,5.0,0,19,2
Bombay Rose,2019,97,6.1,440,3819,5
Ratha Kanneer,1954,154,8.1,306,8,16
Utthaan,1989,120,5.0,0,8,5
Jaanmoni Vol - 1,2008,70,5.0,0,1519,1
Badhti Ka Naam Dadhi,1974,120,6.7,37,8,5
Neeye Nijam,2005,120,5.0,0,8,16
Madhanam,2019,128,8.9,9,519,17
Hyderabad Ki Nazneen,1952,120,5.0,0,8,5
Daakghor,2018,46,5.0,0,8,2
Coolie,2004,120,6.3,26,1,3
Ilamura Thamburan,1998,120,4.7,6,8,9
Khoon Pasina,1977,210,6.2,352,18,5
Seeta Salma Suzy,1992,120,5.0,0,1,5
Suhaagan,1986,120,5.0,0,0,13
Ganesh,2009,120,5.0,257,19,17
Karwane Hayat,1935,122,6.0,6,0,19
Iron Man,2008,126,7.9,954861,1220,19
Choti Si Kahani,2011,680,5.7,12,8,19
Shiva Sainya,1996,138,8.5,12,18,6
Pita Maata Santan,1997,136,5.0,0,1819,2
Punnagai Poove,2003,120,5.6,22,19,16
Ek Musafir Ek Hasina,1962,120,6.6,48,1516,12
Yechchil Iravugal,1982,120,3.6,5,0,16
Swarnakireedam,1996,120,5.0,0,0,9
Ivan Than Uthaman,0,120,5.0,0,13,16
Samhaara,2018,120,6.0,43,124,6
Aro Oral,2017,120,8.3,15,2116,9
Puthiya Katru,1975,120,5.0,0,8,16
1 Pandhu 4 Run 1 Wicket,2014,107,5.0,0,8,16
Zid,2014,126,4.4,1066,61924,5
Ayalathe Sundari,1974,168,7.1,8,515,9
Inakkilly,1984,120,5.0,0,819,9
Sampoorna Mahabharat,1983,155,7.8,10,128,4
Pratibad,1971,120,5.0,0,8,2
Izzatdaar,1990,172,5.2,177,168,5
Minor Raja,1991,120,6.5,13,5,17
Ullasappoonkattu,1997,120,4.8,54,5,9
Salaar,2022,120,5.0,0,1,6
Dhaani,2016,120,8.4,30,919,19
Kaivazhikal Piriyumbol,1977,120,5.0,0,0,9
Nyayam Meere Cheppali,1985,120,5.8,9,0,17
Tan-Badan,1986,115,5.1,37,8,5
Miss Priyambada,1967,93,7.1,12,19,2
Devar,1966,156,7.2,81,6819,5
Naaji,1959,120,5.0,0,8,13
Kuch Der Aur,2018,65,8.5,41,8,5
Krantiveer: The Revolution,2010,159,4.6,19,168,5
Manasupaddanu Kani,2000,120,5.0,0,19,17
Pyar aur Paisa,1991,120,5.0,0,0,19
Dak Babu,1954,124,5.0,0,89,5
Chhalaang,2020,136,6.4,15444,58,5
Kallan Avaran,2019,21,5.0,0,218,9
Mastuto Bhai,1934,120,5.0,0,8,2
Tuesdays and Fridays,2021,106,4.5,407,51519,5
Varna Vasanthangal,2016,128,5.0,0,8,9
Pigman,2013,150,5.1,32,89,9
Amar Suhagin,1978,120,5.0,0,0,5
Father Chitti Umaa Kaarthik,2021,120,6.5,30,8,17
Mr. India,1987,179,7.8,14265,158,5
Chukkan,1994,158,5.0,23,8,9
Kushthi,2006,120,5.0,0,5,16
Bilu: A demon within,2017,128,7.1,133,810,2
Leather Life,2015,118,6.5,10,8,13
Hum Tum Pe Marte Hain,1999,165,5.3,483,5819,5
Vaettiya Madichu Kattu,1998,120,5.5,19,5,16
Nenu Nene Ramune,2018,105,5.0,0,8,17
Laal Joda,2001,118,5.0,0,24,5
"Brakefail, The 4 mechanics",2010,120,5.0,0,5,2
Borbaad,2014,140,5.4,197,1819,2
Meera Ke Girdhar,1992,120,5.0,0,8,5
Zehreeli,1977,120,5.0,0,1616,5
Champion Thomas,1990,107,5.6,8,5,9
Maa Daivam,1976,120,5.0,0,15,17
Aaj Sandhyay,1954,120,5.0,0,0,2
Saanjhbatir Roopkathara,2002,120,6.2,145,89,2
Utkarsha,1990,120,5.0,0,0,6
Manasa,2013,120,5.0,0,8,6
Ladki Sahyadri Ki,1966,120,5.0,9,158,5
Darshan: The Embrace,2005,92,6.4,184,7,9
Johra Bai,2000,120,5.0,0,1,5
Har Har Byomkesh,2015,113,6.8,852,124,2
Chaalbaaz Leader,1970,120,5.0,0,8,5
Prithvi,1994,120,8.3,6,0,11
Jinn,0,130,5.0,0,1,2
Nistaran,2019,92,5.0,0,8,5
Do Haath 100 Bandooken,1974,120,5.0,0,1,5
Ruby,1986,120,5.0,0,8,19
Sabak,1950,120,5.0,0,0,5
Ostittey Amar Desh,2007,120,7.6,9,25,2
Naadham,1983,120,5.0,0,0,9
Salawati,2008,82,5.0,0,8,16
Armaan,2013,140,6.8,43,5819,12
Purano Bullet,2019,120,5.0,0,8,11
Vinayakudu,2008,133,7.2,79,519,16
Jalladon Ka Jallad,2004,120,5.0,0,1,5
Bhinna,2019,95,7.4,28,24,6
Adhu,2004,120,5.0,0,8,16
Virodhi,2011,120,6.6,34,8,17
Umno O Jhumno,1975,120,5.0,0,8,2
Anokha Aspatal,1989,91,6.8,12,5,5
Dhill,2001,158,7.0,789,18,16
Mudhal Idam,2011,145,5.0,0,519,16
Raja Malaya Simhan,1959,120,5.0,0,0,17
Mangaata,2016,107,5.0,0,8,6
Hiro Ghoghe Jai Avyo,1983,120,5.0,0,5,4
Savidham,1992,120,6.3,14,19,9
Aavartan,2021,116,5.0,0,15,5
Itihaas Konna,2000,125,5.0,0,25,2
"I, Me aur Main",2013,108,4.6,1807,5815,5
Envazhi Thani Vazhi,2015,130,3.4,19,1,16
